-999,JacksonFunds,60000,100%,97%,81,720.177,58334.36,0.972,2022-09-20
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.440746,8447.18,0.939,2022-09-20
115,JNL/DFAU.S.CoreEquity,6000,10%,9%,109.3638,52.026267,5689.79,0.948,2022-09-20
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.601226,8465.27,0.941,2022-09-20
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.728126,5410.47,0.902,2022-09-20
190,JNL/MellonEnergySector,9000,15%,16%,223.2304,43.201576,9643.91,1.072,2022-09-20
222,JNL/MellonNasdaq®100Index,9000,15%,15%,153.7046,57.058155,8770.1,0.974,2022-09-20
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,21.184852,6110.7,1.018,2022-09-20
-999,JacksonFunds,60000,100%,96%,81,709.555,57473.92,0.958,2022-09-21
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,14%,738.3417,11.254806,8309.89,0.923,2022-09-21
115,JNL/DFAU.S.CoreEquity,6000,10%,9%,109.3638,51.19778,5599.18,0.933,2022-09-21
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.42437,8346.46,0.927,2022-09-21
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.67067,5387.83,0.898,2022-09-21
190,JNL/MellonEnergySector,9000,15%,16%,223.2304,42.527908,9493.52,1.055,2022-09-21
222,JNL/MellonNasdaq®100Index,9000,15%,14%,153.7046,56.036765,8613.11,0.957,2022-09-21
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,20.891101,6025.97,1.004,2022-09-21
-999,JacksonFunds,60000,100%,91%,81,671.349,54379.27,0.906,2022-09-27
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,13%,738.3417,10.48127,7738.76,0.86,2022-09-27
115,JNL/DFAU.S.CoreEquity,6000,10%,9%,109.3638,48.975338,5356.13,0.893,2022-09-27
365,JNL/InvescoDiversifiedDividend,9000,15%,13%,671.7813,11.86347,7969.66,0.886,2022-09-27
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.164298,5188.26,0.865,2022-09-27
190,JNL/MellonEnergySector,9000,15%,14%,223.2304,38.809415,8663.44,0.963,2022-09-27
222,JNL/MellonNasdaq®100Index,9000,15%,14%,153.7046,54.256568,8339.48,0.927,2022-09-27
635,JNL/MellonUtilitiesSector,6000,10%,9%,288.4467,19.715178,5686.78,0.948,2022-09-27
-999,JacksonFunds,60000,100%,93%,81,688.752,55788.95,0.93,2022-09-28
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,13%,738.3417,10.8717,8027.03,0.892,2022-09-28
115,JNL/DFAU.S.CoreEquity,6000,10%,9%,109.3638,50.094316,5478.5,0.913,2022-09-28
365,JNL/InvescoDiversifiedDividend,9000,15%,14%,671.7813,12.108251,8134.1,0.904,2022-09-28
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.344656,5259.34,0.877,2022-09-28
190,JNL/MellonEnergySector,9000,15%,15%,223.2304,40.637158,9071.45,1.008,2022-09-28
222,JNL/MellonNasdaq®100Index,9000,15%,14%,153.7046,55.328377,8504.23,0.945,2022-09-28
635,JNL/MellonUtilitiesSector,6000,10%,10%,288.4467,19.942616,5752.38,0.959,2022-09-28
-999,JacksonFunds,60000,100%,92%,81,677.421,54871.11,0.915,2022-09-29
66,JNL/BlackRock®GlobalNaturalResources,9000,15%,13%,738.3417,10.793261,7969.11,0.885,2022-09-29
115,JNL/DFAU.S.CoreEquity,6000,10%,9%,109.3638,49.106022,5370.42,0.895,2022-09-29
365,JNL/InvescoDiversifiedDividend,9000,15%,13%,671.7813,11.951056,8028.5,0.892,2022-09-29
368,JNL/MellonConsumerStaplesSector,6000,10%,9%,394.1159,13.125531,5172.98,0.862,2022-09-29
190,JNL/MellonEnergySector,9000,15%,15%,223.2304,40.555364,9053.19,1.006,2022-09-29
222,JNL/MellonNasdaq®100Index,9000,15%,14%,153.7046,53.743794,8260.67,0.918,2022-09-29
635,JNL/MellonUtilitiesSector,6000,10%,9%,288.4467,19.160453,5526.77,0.921,2022-09-29
